rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
-15.863 < Kurtosis < 24.581,0.3855690062046051,0.2665960192680359,0.347834974527359,0.30349797010421753,0.0,0.6965020298957825
24.581 < Kurtosis < 65.024,0.30587393045425415,0.36465391516685486,0.3294721245765686,0.0,0.31134772300720215,0.6886522769927979
Kurtosis > 65.024,0.21954002976417542,0.3270552158355713,0.4534047842025757,0.0,0.460891991853714,0.5391080379486084
Contrast < 48.638,0.5143457651138306,0.13930711150169373,0.3463470935821533,0.0,0.28024688363075256,0.7197531461715698
48.638 < Contrast < 130.232,0.3988560140132904,0.24567992985248566,0.35546401143074036,0.004654557444155216,0.1879258006811142,0.8074196577072144
130.232 < Contrast < 211.826,0.8924600481987,0.03779701888561249,0.06974294036626816,0.08557014167308807,0.09250634908676147,0.821923553943634
Contrast > 211.826,0.4181916415691376,0.2037632167339325,0.37804511189460754,0.10441894829273224,0.09854155033826828,0.7970395088195801
Energy < 0.117,0.0,1.0,0.0,0.0,0.3504036068916321,0.6495963931083679
0.117 < Energy < 0.204,0.00565632339566946,0.9886412620544434,0.005702354945242405,0.0,0.5333079099655151,0.46669209003448486
0.204 < Energy < 0.292,0.4187765121459961,0.23401598632335663,0.34720757603645325,0.4628954231739044,0.0,0.537104606628418
Energy > 0.292,0.45823943614959717,0.19018004834651947,0.35158050060272217,0.3978554904460907,0.0,0.6021444797515869
ASM < 0.019,0.0,1.0,0.0,0.0,0.3332381546497345,0.6667618155479431
0.019 < ASM < 0.058,0.3394668400287628,0.31719425320625305,0.34333884716033936,0.12971869111061096,0.056409675627946854,0.8138716816902161
0.058 < ASM < 0.098,0.44256144762039185,0.2053717076778412,0.35206687450408936,0.30778613686561584,0.0,0.6922138333320618
ASM > 0.098,0.46077343821525574,0.18892735242843628,0.35029923915863037,0.3268343210220337,0.0,0.6731656789779663
Homogeneity < 0.393,0.0,1.0,0.0,0.0,0.36879655718803406,0.6312034130096436
0.393 < Homogeneity < 0.479,0.34510958194732666,0.32877224683761597,0.3261181712150574,0.0,0.4920194149017334,0.5079805850982666
0.479 < Homogeneity < 0.565,0.40588632225990295,0.24762074649333954,0.3464929163455963,0.3362486660480499,0.0,0.6637513637542725
Homogeneity > 0.565,0.4612694978713989,0.1874169260263443,0.35131359100341797,0.4220181107521057,0.0,0.5779818892478943
Dissimilarity < 3.433,0.45040014386177063,0.19627739489078522,0.35332244634628296,0.25932207703590393,0.0006149837281554937,0.7400628924369812
3.433 < Dissimilarity < 4.715,0.40155646204948425,0.25299954414367676,0.345443993806839,0.22486624121665955,0.0,0.7751337289810181
4.715 < Dissimilarity < 5.998,0.3039725124835968,0.40003886818885803,0.2959885597229004,0.017458252608776093,0.20842984318733215,0.7741119265556335
Dissimilarity > 5.998,0.32425302267074585,0.31801310181617737,0.35773390531539917,0.0,0.3255975842475891,0.6744024157524109
Correlation < 0.938,0.49791911244392395,0.15201875567436218,0.3500620722770691,0.1523522287607193,0.020925618708133698,0.8267221450805664
0.938 < Correlation < 0.956,0.404029905796051,0.24681876599788666,0.3491513729095459,0.06919682025909424,0.10324614495038986,0.8275570273399353
0.956 < Correlation < 0.973,0.3746967911720276,0.2790879011154175,0.34621527791023254,0.0,0.32292822003364563,0.677071750164032
Correlation > 0.973,0.37798377871513367,0.2752702236175537,0.34674593806266785,0.04843774065375328,0.1402280032634735,0.8113342523574829
Coarseness = 7.46e-155,0.14425958693027496,0.7114808559417725,0.14425958693027496,0.14957822859287262,0.05042177811264992,0.800000011920929
