rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
"Negative Homogeneity - 0.479, Dissimilarity - 4.715",0.23508280515670776,0.023288961499929428,0.7416282892227173,0.11121316999197006,0.08397720009088516,0.8048096299171448
"Positive Homogeneity - 0.479, Correlation - 0.956",0.11934352666139603,0.06656860560178757,0.8140878081321716,0.0,0.22096458077430725,0.7790353894233704
"Negative Homogeneity - 0.479, Correlation - 0.956",0.08133010566234589,0.09691156446933746,0.8217583894729614,0.09942881017923355,0.08962102979421616,0.8109501600265503
"Positive Homogeneity - 0.479, Coarseness - 0.000",0.0,0.2123488336801529,0.7876511812210083,0.05375036597251892,0.1228870153427124,0.8233626484870911
"Negative Homogeneity - 0.479, Coarseness - 0.000",0.20642928779125214,0.0,0.7935706973075867,0.2904256284236908,0.0,0.7095743417739868
"Positive Dissimilarity - 4.715, Correlation - 0.956",0.030344098806381226,0.14614208042621613,0.8235138058662415,0.05657569691538811,0.1354013830423355,0.8080229163169861
"Negative Dissimilarity - 4.715, Correlation - 0.956",0.16456569731235504,0.02619052864611149,0.8092437982559204,0.13863828778266907,0.05373864248394966,0.8076230883598328
"Positive Dissimilarity - 4.715, Coarseness - 0.000",0.13580359518527985,0.043194159865379333,0.8210023045539856,0.1402624249458313,0.046697624027729034,0.8130399584770203
"Negative Dissimilarity - 4.715, Coarseness - 0.000",0.07533033192157745,0.10725534707307816,0.8174143433570862,0.05546528846025467,0.13278603553771973,0.8117486834526062
"Positive Correlation - 0.956, Coarseness - 0.000",0.18035249412059784,0.015722889453172684,0.8039246201515198,0.16841325163841248,0.026475118473172188,0.8051116466522217
"Negative Correlation - 0.956, Coarseness - 0.000",0.0838056206703186,0.08923695236444473,0.8269574642181396,0.018459998071193695,0.17980650067329407,0.8017334938049316
